region,country,date,value
Region_X,Country_1,99,13.244
Region_X,Country_1,100,17.374
Region_X,Country_2,1,5.263
Region_X,Country_2,2,17.16
Region_X,Country_2,3,36.15
Region_X,Country_2,4,55.366
Region_X,Country_2,5,71.633
Region_X,Country_2,6,83.936
Region_X,Country_2,7,92.568
Region_X,Country_2,8,95.181
Region_X,Country_2,9,88.721
Region_X,Country_2,10,73.891
Region_X,Country_2,11,57.669
Region_X,Country_2,12,43.577
Region_X,Country_2,13,32.755
Region_X,Country_2,14,24.56
Region_X,Country_2,15,18.668
Region_X,Country_2,16,13.979
Region_X,Country_2,17,10.354
Region_X,Country_2,18,7.794
Region_X,Country_2,19,5.976
Region_X,Country_2,20,4.704
Region_X,Country_2,21,3.68
Region_X,Country_2,22,2.954
Region_X,Country_2,23,2.419
Region_X,Country_2,24,2.067
Region_X,Country_2,25,1.877
Region_X,Country_2,26,1.907
Region_X,Country_2,27,2.163
Region_X,Country_2,28,2.715
Region_X,Country_2,29,3.72
Region_X,Country_2,30,5.434
Region_X,Country_2,31,8.329
Region_X,Country_2,32,12.303
Region_X,Country_2,33,17.316
Region_X,Country_2,34,23.184
Region_X,Country_2,35,29.287
Region_X,Country_2,36,35.305
Region_X,Country_2,37,40.335
Region_X,Country_2,38,44.062
Region_X,Country_2,39,47.496
Region_X,Country_2,40,51.028
Region_X,Country_2,41,55.667
Region_X,Country_2,42,62.711
Region_X,Country_2,43,74.058
Region_X,Country_2,44,87.677
Region_X,Country_2,45,99.011
Region_X,Country_2,46,105.44
Region_X,Country_2,47,107.203
Region_X,Country_2,48,104.31
Region_X,Country_2,49,95.886
Region_X,Country_2,50,81.088
Region_X,Country_2,51,63.17
Region_X,Country_2,52,46.845
Region_X,Country_2,53,34.146
Region_X,Country_2,54,24.344
Region_X,Country_2,55,16.865
Region_X,Country_2,56,11.861
Region_X,Country_2,57,8.532
Region_X,Country_2,58,6.194
Region_X,Country_2,59,4.643
Region_X,Country_2,60,3.479
Region_X,Country_2,61,2.747
Region_X,Country_2,62,2.224
Region_X,Country_2,63,1.811
Region_X,Country_2,64,1.513
Region_X,Country_2,65,1.405
Region_X,Country_2,66,1.424
Region_X,Country_2,67,1.56
Region_X,Country_2,68,1.921
Region_X,Country_2,69,2.44
Region_X,Country_2,70,3.352
Region_X,Country_2,71,4.38
Region_X,Country_2,72,5.546
Region_X,Country_2,73,6.64
Region_X,Country_2,74,7.847
Region_X,Country_2,75,9.114
Region_X,Country_2,76,10.369
Region_X,Country_2,77,11.613
Region_X,Country_2,78,12.703
Region_X,Country_2,79,13.48
Region_X,Country_2,80,13.998
Region_X,Country_2,81,14.214
Region_X,Country_2,82,14.415
Region_X,Country_2,83,14.667
Region_X,Country_2,84,14.929
Region_X,Country_2,85,15.238
Region_X,Country_2,86,15.452
Region_X,Country_2,87,15.723
Region_X,Country_2,88,15.934
Region_X,Country_2,89,15.922
Region_X,Country_2,90,15.71
Region_X,Country_2,91,14.967
Region_X,Country_2,92,14.165
Region_X,Country_2,93,13.882
Region_X,Country_2,94,14.595
Region_X,Country_2,95,16.093
Region_X,Country_2,96,17.593
Region_X,Country_2,97,18.74
Region_X,Country_2,98,19.688
Region_X,Country_2,99,20.074
Region_X,Country_2,100,19.993
